"trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","3","0.0-0.0","digit-span","false","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","5207","0.0-1.0","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","7761","0.0-2.0-0.0","digit-span","true","0","","2550.7899999793153","<div class = centerbox><p class = center-block-text>Welcome to the experiment. This experiment will take less than 5 minutes. Press <strong>enter</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","13161","0.0-2.0-1.0","digit-span","true","0","","5399.4499999971595","","","instruction","[{""page_index"":0,""viewing_time"":5398.52499999688}]","","","","","","","","","","","","","",""
"html-keyboard-response","4","15172","0.0-3.0-0.0","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","5","18588","0.0-3.0-1.0","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","6","22101","0.0-3.0-2.0","digit-span","true","0","","3508","","","response","","","","","","3508","1000","test","2,9","2","SubmitButton","3508","1,3","forward","false"
"html-keyboard-response","7","23109","0.0-3.0-3.0","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","8","26516","0.0-3.0-4.0","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","9","28358","0.0-3.0-5.0","digit-span","true","0","","1840","","","response","","","","","","1840","1000","test","4,6","2","SubmitButton","1840","2,3","forward","false"
"html-keyboard-response","10","30055","0.0-11.0","digit-span","true","0","","1695.6200000131503","<div class = centerbox><p class = block-text>Now, you will see some numbers, but this time you will enter them <strong>backward</strong>. For example, you see “1—5”, and you will enter “5—1”.<br/><br/>Press <strong>enter</strong> to begin.</p></div>","13","start_reverse","","","","","","","","","","","","","","",""
"html-keyboard-response","11","31057","0.0-12.0-0.0","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","12","34465","0.0-12.0-1.0","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","8,2","2","","","","",""
"single-stim-button","13","37070","0.0-12.0-2.0","digit-span","true","0","","2602","","","response","","","","","","2602","1000","test","8,2","2","SubmitButton","2602","8,2","practice","false"
"html-keyboard-response","14","47073","0.0-12.0-3.0","digit-span","true","0","","null","<div class = centerbox><div class = center-block-text><span style=""color:red"">No, you should enter ""2—8"".<br>You saw ""8—2"", so to enter it <strong>backward</strong>, you would press ""2—8"".</span></div></div>","null","feedback","","","","","","","","","","","","","","",""
"html-keyboard-response","15","48077","0.0-12.0-4.0","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","16","51483","0.0-12.0-5.0","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","5,6","2","","","","",""
"single-stim-button","17","54124","0.0-12.0-6.0","digit-span","true","0","","2638","","","response","","","","","","2638","1000","test","5,6","2","SubmitButton","2638","5,6","practice","false"
"html-keyboard-response","18","55130","0.0-13.0-0.0","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","19","58538","0.0-13.0-1.0","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,5","2","","","","",""
"single-stim-button","20","60567","0.0-13.0-2.0","digit-span","true","0","","2027","","","response","","","","","","2027","1000","test","2,5","2","SubmitButton","2027","4,5","reverse","false"
"html-keyboard-response","21","61570","0.0-13.0-3.0","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","22","64980","0.0-13.0-4.0","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","6,3","2","","","","",""
"single-stim-button","23","66461","0.0-13.0-5.0","digit-span","true","0","","1479","","","response","","","","","","1479","1000","test","6,3","2","SubmitButton","1479","5,3","reverse","false"
"html-keyboard-response","24","67877","0.0-20.0","digit-span","true","0","","1414.59999998915","<div class = centerbox><p class = center-block-text>Thanks for completing this task!<br/><br/>Press <strong>enter</strong> to continue.</p></div>","13","end","","","","","","","","","","","","","","",""
"pavlovia","25","67883","0.0-21.0","digit-span","true","0","","","","","","","","","","","","","","","","","","","",""
