"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","2744","0.0-0.0","2002","digit-span","true","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","6420","0.0-1.0","2002","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","15524","0.0-2.0-0.0","2002","digit-span","true","0","","9099.5","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","23535","0.0-2.0-1.0","2002","digit-span","true","0","","8009.200000762939","","","instruction","[{""page_index"":0,""viewing_time"":8008.299999237061}]","","","","","","","","","","","","","",""
"instructions","4","31437","0.0-2.0-2.0","2002","digit-span","true","0","","6885.5","","","instruction","[{""page_index"":0,""viewing_time"":6884.700000762939}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","33452","0.0-3.0-0.0","2002","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","36885","0.0-3.0-1.0","2002","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","41176","0.0-3.0-2.0","2002","digit-span","true","0","","4284","","","response","","","","","","4284","1000","test","2,9","2","SubmitButton","4284","2,9","forward","true"
"html-keyboard-response","8","42187","0.0-3.0-3.0","2002","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","45600","0.0-3.0-4.0","2002","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","50321","0.0-3.0-5.0","2002","digit-span","true","0","","4717","","","response","","","","","","4717","1000","test","4,6","2","SubmitButton","4717","2,4,6","forward","false"
"html-keyboard-response","11","51337","0.0-4.0-0.0","2002","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","12","55954","0.0-4.0-1.0","2002","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","3,8,6","3","","","","",""
"single-stim-button","13","60104","0.0-4.0-2.0","2002","digit-span","true","0","","4146","","","response","","","","","","4146","1000","test","3,8,6","3","SubmitButton","4146","3,8,6","forward","true"
"html-keyboard-response","14","61109","0.0-4.0-3.0","2002","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","15","65716","0.0-4.0-4.0","2002","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","6,1,2","3","","","","",""
"single-stim-button","16","70228","0.0-4.0-5.0","2002","digit-span","true","0","","4509","","","response","","","","","","4509","1000","test","6,1,2","3","SubmitButton","4509","6,1,2","forward","true"
"html-keyboard-response","17","71235","0.0-5.0-0.0","2002","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","18","77046","0.0-5.0-1.0","2002","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>""]","[-1]","none","[1000,1000,1000,1000]","4800","0","test","3,4,1,7","4","","","","",""
"single-stim-button","19","82498","0.0-5.0-2.0","2002","digit-span","true","0","","5448","","","response","","","","","","5448","1000","test","3,4,1,7","4","SubmitButton","5448","3,4,1,7","forward","true"
"html-keyboard-response","20","83514","0.0-5.0-3.0","2002","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","21","89333","0.0-5.0-4.0","2002","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>""]","[-1]","none","[1000,1000,1000,1000]","4800","0","test","6,1,5,8","4","","","","",""
"single-stim-button","22","94407","0.0-5.0-5.0","2002","digit-span","true","0","","5070","","","response","","","","","","5070","1000","test","6,1,5,8","4","SubmitButton","5070","6,1,5,8","forward","true"
"html-keyboard-response","23","95416","0.0-6.0-0.0","2002","digit-span","true","0","","null","<div class = centerbox><div class = center-text>5 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","24","102428","0.0-6.0-1.0","2002","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000,1000,1000,1000]","6000","0","test","8,4,2,3,9","5","","","","",""
"single-stim-button","25","109331","0.0-6.0-2.0","2002","digit-span","true","0","","6901","","","response","","","","","","6901","1000","test","8,4,2,3,9","5","SubmitButton","6901","8,4,2,3,9","forward","true"
"html-keyboard-response","26","110340","0.0-6.0-3.0","2002","digit-span","true","0","","null","<div class = centerbox><div class = center-text>5 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
