"trial_type","trial_index","time_elapsed","internal_node_id","subject","order","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","2920","0.0-0.0","2141","1","digit-span","true","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","6553","0.0-1.0","2141","1","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","19935","0.0-2.0-0.0","2141","1","digit-span","true","0","","13380.5","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","25370","0.0-2.0-1.0","2141","1","digit-span","true","0","","5434.10000000149","","","instruction","[{""page_index"":0,""viewing_time"":5433.60000000149}]","","","","","","","","","","","","","",""
"instructions","4","29044","0.0-2.0-2.0","2141","1","digit-span","true","0","","2660.7000000029802","","","instruction","[{""page_index"":0,""viewing_time"":2660.39999999851}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","31083","0.0-3.0-0.0","2141","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","34541","0.0-3.0-1.0","2141","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","41935","0.0-3.0-2.0","2141","1","digit-span","true","0","","7392","","","response","","","","","","7392","1000","test","2,9","2","SubmitButton","7392","2,9","forward","true"
"html-keyboard-response","8","42939","0.0-3.0-3.0","2141","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","46343","0.0-3.0-4.0","2141","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","56500","0.0-3.0-5.0","2141","1","digit-span","true","0","","10156","","","response","","","","","","10156","1000","test","4,6","2","SubmitButton","10156","4,6","forward","true"
